iter	Passed	Remaining
436	1379	1777
437	1382	1774
438	1385	1770
439	1388	1767
440	1391	1763
441	1394	1759
442	1396	1756
443	1400	1753
444	1402	1749
445	1405	1745
446	1408	1741
447	1410	1738
448	1413	1734
449	1416	1731
450	1419	1727
451	1422	1724
452	1425	1720
453	1428	1718
454	1432	1715
455	1435	1713
456	1438	1709
457	1441	1706
458	1445	1704
459	1449	1702
460	1453	1699
461	1456	1695
462	1458	1692
463	1461	1688
464	1464	1684
465	1467	1681
466	1470	1677
467	1472	1674
468	1475	1670
469	1478	1667
470	1481	1664
471	1484	1661
472	1487	1657
473	1490	1653
474	1492	1650
475	1495	1646
476	1498	1643
477	1501	1639
478	1504	1636
479	1507	1633
480	1510	1630
481	1513	1626
482	1516	1622
483	1518	1619
484	1522	1616
485	1524	1612
486	1527	1608
487	1530	1605
488	1532	1601
489	1535	1598
490	1538	1594
491	1541	1591
492	1543	1587
493	1546	1584
494	1549	1580
495	1552	1577
496	1555	1574
497	1558	1571
498	1561	1567
499	1564	1564
500	1567	1560
501	1570	1557
502	1573	1554
503	1575	1550
504	1578	1547
505	1581	1543
506	1583	1540
507	1586	1536
508	1589	1533
509	1592	1529
510	1594	1526
511	1597	1522
512	1600	1519
513	1602	1515
514	1605	1512
515	1608	1508
516	1611	1505
517	1613	1501
518	1616	1498
519	1619	1495
520	1622	1491
521	1625	1488
522	1628	1485
523	1631	1481
524	1633	1478
525	1636	1474
526	1639	1471
527	1642	1468
528	1645	1464
529	1648	1461
530	1651	1458
531	1654	1455
532	1657	1451
533	1659	1448
534	1662	1444
535	1665	1441
536	1668	1438
537	1670	1434
538	1673	1431
539	1676	1427
540	1678	1424
541	1681	1420
542	1684	1417
543	1686	1413
544	1689	1410
545	1692	1407
546	1695	1403
547	1697	1400
548	1700	1396
549	1703	1393
550	1706	1390
551	1709	1387
552	1711	1383
553	1714	1380
554	1717	1377
555	1719	1373
556	1722	1369
557	1725	1366
558	1727	1363
559	1730	1359
560	1732	1356
561	1735	1352
562	1738	1349
563	1742	1346
564	1745	1343
565	1748	1340
566	1751	1337
567	1753	1333
568	1756	1330
569	1759	1327
570	1762	1323
571	1764	1320
572	1767	1317
573	1770	1314
574	1773	1310
575	1775	1306
576	1778	1303
577	1780	1300
578	1783	1297
579	1786	1293
580	1789	1290
581	1791	1287
582	1794	1283
583	1797	1280
584	1800	1277
585	1803	1273
586	1806	1270
587	1808	1267
588	1811	1264
589	1814	1260
590	1816	1257
591	1819	1254
592	1822	1251
