iter	Logloss
0	0.6616075164
1	0.633168986
2	0.6072071343
3	0.5837882502
4	0.564934989
5	0.545164574
6	0.5274929854
7	0.5107871611
8	0.4957631398
9	0.4819546249
10	0.470958068
11	0.4592907195
12	0.4491937173
13	0.4392804627
14	0.4308084117
15	0.4223885932
16	0.4151937183
17	0.407972892
18	0.401384729
19	0.3955882743
20	0.3902249404
21	0.385482695
22	0.3801684434
23	0.3757568346
24	0.3716017038
25	0.3680753039
26	0.3651894646
27	0.3619567846
28	0.3589830931
29	0.3559697141
30	0.3525824836
31	0.3495959885
32	0.3474469671
33	0.34471592
34	0.3424696926
35	0.3402184853
36	0.3382058659
37	0.3360566444
38	0.3340296802
39	0.332718217
40	0.3313267854
41	0.3300776866
42	0.3288193813
43	0.327282005
44	0.3255970233
45	0.3242499665
46	0.3230494839
47	0.3216293578
48	0.3208888395
49	0.3197617184
50	0.3188548665
51	0.3175524912
52	0.316065874
53	0.3153401851
54	0.3145075679
55	0.3133308647
56	0.3116847373
57	0.3106360857
58	0.3096333222
59	0.3089357441
60	0.3082313189
61	0.3074754102
62	0.3067226482
63	0.3059739584
64	0.3052098029
65	0.304501244
66	0.3038182036
67	0.3027894439
68	0.3019962863
69	0.3013016988
70	0.3006661574
71	0.2996858683
72	0.2988506388
73	0.2984169909
74	0.2977483006
75	0.2970962172
76	0.2966406462
77	0.2957554402
78	0.2947984709
79	0.2935501025
80	0.292961126
81	0.2925140997
82	0.292015951
83	0.2911799928
84	0.2907652493
85	0.2903766482
86	0.289855539
87	0.2894562433
88	0.2892045691
89	0.2882662729
90	0.2877576381
91	0.2868120158
92	0.2861959984
93	0.2855937227
94	0.2851545118
95	0.2848418238
96	0.284533213
97	0.2839657548
98	0.2836271092
99	0.2832085641
100	0.2827408768
101	0.2822403009
102	0.2815108228
103	0.281071836
104	0.2807701619
105	0.2804311243
106	0.2797669421
107	0.2795040236
108	0.279091732
109	0.2786618076
110	0.2783804122
111	0.2779989097
112	0.2774730045
113	0.27711849
114	0.2767148981
115	0.2762892333
116	0.2760660121
117	0.2756802184
118	0.2754713913
119	0.2752117635
120	0.27477147
121	0.2744461791
122	0.2742393315
123	0.2737850397
124	0.2734737864
125	0.2731147177
126	0.2728374821
127	0.2725995501
128	0.272268263
129	0.2717809323
130	0.2714506037
131	0.2709869128
132	0.270735808
133	0.2704322843
134	0.2701682394
135	0.2698011854
136	0.2694658692
137	0.2691873602
138	0.268928736
139	0.2685144075
140	0.268228926
141	0.2678628708
142	0.2672320455
143	0.2667486019
144	0.2662671964
145	0.2659815634
146	0.2656061391
147	0.2652323573
148	0.2650102404
149	0.2647756712
150	0.2645965421
151	0.2642823217
152	0.2638966947
153	0.2636748975
154	0.2633672763
155	0.2631740355
156	0.2628548016
157	0.2626422056
158	0.2624420253
159	0.262030651
160	0.2618094429
161	0.2616433465
162	0.2614066882
163	0.2610710923
164	0.2608194101
165	0.2605658965
166	0.2603327595
167	0.2600493173
168	0.259526298
169	0.2593849238
170	0.2591358944
171	0.2587115962
172	0.2584411624
173	0.2582477681
174	0.2576052401
175	0.2572966254
176	0.2570911803
177	0.2567758726
178	0.2565403216
179	0.2561754624
180	0.2555781009
181	0.2553434337
182	0.2551537324
183	0.2549497017
184	0.2547916854
185	0.2546114225
186	0.2542364183
187	0.2540506939
188	0.2539295504
189	0.253695123
190	0.2534515412
191	0.2531025028
192	0.2527645387
193	0.2525639754
194	0.2523422603
195	0.2520598508
196	0.2518965897
197	0.2517275465
198	0.2515365553
199	0.2513493482
200	0.2508943254
201	0.2507387715
202	0.2504844816
203	0.2501057335
204	0.249811655
205	0.2496803526
206	0.2494659134
207	0.2490853601
208	0.2488623078
209	0.2486132394
210	0.2484080812
211	0.2481606077
212	0.2479572924
213	0.2477259189
214	0.247530665
215	0.2473584924
216	0.2471299131
217	0.2468947531
218	0.2467312461
219	0.2465022483
220	0.2463072257
221	0.2461697762
222	0.2460036704
223	0.2457922427
224	0.2456834877
225	0.2454435297
226	0.2453281336
227	0.2452204235
228	0.244962704
229	0.2447588389
230	0.2446099856
231	0.244376857
232	0.2441932856
233	0.2440419849
234	0.2439070772
235	0.2437546185
236	0.2435941464
237	0.2433919664
238	0.243023555
239	0.2427875663
240	0.2426614176
241	0.2424913411
242	0.2423656641
243	0.2422018187
244	0.2420130243
245	0.2418775271
246	0.2416195068
247	0.2413940273
248	0.2412137944
249	0.2409608206
250	0.2407355287
251	0.2406147873
252	0.240492564
253	0.2403615239
254	0.2402314115
255	0.2400577028
256	0.2398636116
257	0.239651702
258	0.2393430062
259	0.2389906877
260	0.2387729941
261	0.2385230823
262	0.2383144434
263	0.2381250955
264	0.2379334304
265	0.2378206949
266	0.2375440812
267	0.2373383456
268	0.2371260511
269	0.2367743445
270	0.2365970047
271	0.2363334099
272	0.2361322985
273	0.2359341968
274	0.2357852917
275	0.2355883111
276	0.2353922648
277	0.2352161871
278	0.2350210438
279	0.2348985057
280	0.2347626222
281	0.2344903864
282	0.2343032581
283	0.2341795207
284	0.2340297258
285	0.2338730642
286	0.2335701649
287	0.2334017645
288	0.2332350575
289	0.2328434121
290	0.2326169765
291	0.2324601794
292	0.2323023872
293	0.2321802805
294	0.2319752615
295	0.2317039928
296	0.2315307461
297	0.2313855913
298	0.2311968185
299	0.2310816253
300	0.2308867556
301	0.2307244289
302	0.2305654928
303	0.230411358
304	0.2300632909
305	0.22993111
306	0.2296548723
307	0.2293924412
308	0.229211835
309	0.229109385
310	0.2289907209
311	0.2288349488
312	0.2285958821
313	0.2285021088
314	0.2283450355
315	0.2281135371
316	0.2278928249
317	0.2276905702
318	0.2274929405
319	0.227202284
320	0.2270752391
321	0.2269340831
322	0.2267319499
323	0.2265456679
324	0.2263904875
325	0.2261968993
326	0.2260874029
327	0.2259094482
328	0.2256813724
329	0.2255905972
330	0.2253989795
331	0.2252928133
332	0.2250746854
333	0.2247229531
334	0.2245535813
335	0.2243762938
336	0.2242261941
337	0.2239591826
338	0.2236879427
339	0.2235502926
340	0.2233436516
341	0.2231741083
342	0.2230899694
343	0.2228005698
344	0.222577755
345	0.2224321636
346	0.222274881
347	0.2220104704
348	0.2217948872
349	0.2215770652
350	0.2212695506
351	0.2209877396
352	0.2208493325
353	0.2206142778
354	0.2203854546
355	0.2201684567
356	0.2199165322
357	0.2197721282
358	0.219470579
359	0.2191955091
360	0.2189298557
361	0.218788762
362	0.2186257908
363	0.2184384376
364	0.218197335
365	0.2179930325
366	0.2177915764
367	0.2175160859
368	0.2174276076
369	0.2172183764
370	0.2170926587
371	0.2168693968
372	0.2166775385
373	0.216540123
374	0.2162827842
375	0.2160692614
376	0.2159260431
377	0.21574683
378	0.2156171397
379	0.2154585015
380	0.2152693878
381	0.2151141326
382	0.214948561
383	0.2144373426
384	0.2142627563
385	0.2141197875
386	0.2139838915
387	0.2138064993
388	0.2136397236
389	0.2135007312
390	0.2133906452
391	0.2132154062
392	0.2129305882
393	0.2127721822
394	0.2126519407
395	0.2124304445
396	0.2121416515
397	0.2119041323
398	0.2115838449
399	0.2113123542
400	0.2111431114
401	0.2108629442
402	0.2106552198
403	0.2104886843
404	0.2103223088
405	0.2102115971
406	0.2100680959
407	0.2099215379
408	0.2096864988
409	0.2094615263
410	0.2093119067
411	0.2088711847
412	0.2087861216
413	0.2085160563
414	0.2083622404
415	0.2082126999
416	0.2079933355
417	0.2078765581
418	0.20762366
419	0.2074795635
420	0.2073221641
421	0.2071642155
422	0.2070819208
423	0.2069222969
424	0.2067377027
425	0.2065486886
426	0.2064314097
427	0.2063070482
428	0.2061680242
429	0.2060502263
430	0.2057039708
431	0.2055665877
432	0.2054586714
433	0.2051482485
434	0.2050496162
435	0.2049002909
436	0.2047556029
437	0.2046053321
438	0.2044208355
439	0.2042802355
440	0.2041598288
441	0.2040251053
442	0.2038423827
443	0.2036997159
444	0.2035409221
445	0.2034720138
446	0.2033354948
447	0.2032033741
448	0.2031195757
449	0.2029791701
450	0.2027783689
451	0.2025264232
452	0.2022810617
453	0.2021686712
454	0.2020478944
455	0.2017589399
456	0.2016426356
457	0.2014977698
458	0.2012414714
459	0.201091985
460	0.200976699
461	0.2008354668
462	0.2007386696
463	0.2003811077
464	0.2002408355
465	0.2000472251
466	0.1999103105
467	0.1996593168
468	0.1995497779
469	0.1994177768
470	0.1992731131
471	0.199053734
472	0.1989578741
473	0.1988505974
474	0.1987560635
475	0.1986527848
476	0.1985168399
477	0.1983528445
478	0.198182974
479	0.1980167829
480	0.1978741083
481	0.1977642165
482	0.1975920144
483	0.1974812934
484	0.1973367717
485	0.1972304336
486	0.1970372247
487	0.1969045183
488	0.1968046636
489	0.1965995496
490	0.1964946343
491	0.1963887314
492	0.1962847434
493	0.1961286904
494	0.1959968358
495	0.1958926104
496	0.1957750113
497	0.1956670022
498	0.1955593228
499	0.1954708201
500	0.1953242478
501	0.1952262797
502	0.1951293416
503	0.1950490261
504	0.1948557608
505	0.1947197462
506	0.1945022575
507	0.194304407
508	0.1940586273
509	0.1939820912
510	0.1937919614
511	0.1935627457
512	0.193451881
513	0.1932462707
514	0.1930811167
515	0.192995635
516	0.1928542985
517	0.1926790669
518	0.1924800856
519	0.1923527589
520	0.1922755082
521	0.1920501842
522	0.1919362138
523	0.1918587627
524	0.191771684
525	0.1916234235
526	0.1914769172
527	0.1913282783
528	0.1911658727
529	0.1910294782
530	0.1908714196
531	0.190708575
532	0.1906202371
533	0.1904819105
534	0.190348098
535	0.1901735781
536	0.1900903105
537	0.1899938027
538	0.189877359
539	0.1897970918
540	0.1896620568
541	0.1894981843
542	0.1893679225
543	0.1892752797
544	0.1891561513
545	0.1890302609
546	0.188896696
547	0.1888305078
548	0.1885988676
549	0.1885019136
550	0.1883420918
551	0.1882416158
